unread,CO2_unread,recipients,CO2_recipients,cc,CO2_cc,image,CO2_image,documents,CO2_document,words,CO2_words,links,CO2_links
0,0.03,1,26,0,0.03,0,0,0,0,19.08,9.54,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,3.18,1.59,0,0
0,0.03,0,0.3,2,0.6,0,0,0,0,3.316,1.658,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,1.728,0.864,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,66.46,33.23,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,6.928,3.464,1,0.2
0,0.03,1,26,0,0.03,0,0,1,50,34.384,17.192,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,11.752,5.876,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,16.412,8.206,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,2.396,1.198,1,0.2
0,0.03,0,0.3,3,,0,0,1,50,13.94,6.97,0,0
0,0.03,1,26,1,0.3,0,0,0,0,18.048,9.024,1,0.2
0,0.03,0,0.3,0,0.03,1,50,1,50,19.044,9.522,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,2.56,1.28,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,16.16,8.08,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,5.604,2.802,1,0.2
0,0.03,0,0.3,3,,0,0,0,0,37.092,18.546,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,357.08,178.54,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,5.556,2.778,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,33.9,16.95,1,0.2
0,0.03,0,0.3,2,0.6,1,50,1,50,2.492,1.246,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,4.528,2.264,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,11.012,5.506,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,24.532,12.266,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,6.356,3.178,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,3.728,1.864,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,35.024,17.512,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,14.484,7.242,1,0.2
0,0.03,0,0.3,0,0.03,0,0,1,50,41.592,20.796,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,9.816,4.908,0,0
0,0.03,0,0.3,0,0.03,0,0,1,50,1.388,0.694,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,69.62,34.81,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,43.808,21.904,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,63.316,31.658,1,0.2
0,0.03,1,26,1,0.3,0,0,0,0,11.708,5.854,0,0
0,0.03,1,26,1,0.3,0,0,0,0,60.152,30.076,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,9.616,4.808,1,0.2
0,0.03,0,0.3,6,,0,0,0,0,17.492,8.746,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,19.98,9.99,1,0.2
0,0.03,1,26,4,,0,0,0,0,17.348,8.674,0,0
0,0.03,0,0.3,5,,0,0,0,0,18.944,9.472,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,12.86,6.43,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,66.04,33.02,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,26.868,13.434,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,86.82,43.41,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,108.284,54.142,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,24.224,12.112,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,6.612,3.306,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,124.448,62.224,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,28.772,14.386,1,0.2
0,0.03,0,0.3,2,0.6,0,0,0,0,25.056,12.528,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,51.448,25.724,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,31.444,15.722,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,68.24,34.12,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,23.548,11.774,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,92.688,46.344,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.176,17.088,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,4.164,2.082,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,4.164,2.082,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,71.412,35.706,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,71.412,35.706,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,96.808,48.404,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,33.388,16.694,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,178.364,89.182,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,37.496,18.748,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,13.664,6.832,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,46.46,23.23,1,0.2
0,0.03,0,0.3,4,,0,0,0,0,16.04,8.02,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,39.264,19.632,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,43.984,21.992,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,25.56,12.78,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,80.764,40.382,1,0.2
0,0.03,1,26,0,0.03,20,1000,20,1000,86.536,43.268,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,39.016,19.508,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,41.464,20.732,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,31.056,15.528,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,53.748,26.874,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,12.744,6.372,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,71.34,35.67,1,0.2
0,0.03,1,26,0,0.03,1,50,1,50,20.636,10.318,0,0
0,0.03,0,0.3,7,,0,0,0,0,39.484,19.742,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,24.76,12.38,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,35.072,17.536,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,6.376,3.188,0,0
0,0.03,0,0.3,6,,0,0,0,0,57.38,28.69,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,1.368,0.684,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,26.56,13.28,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,41.464,20.732,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,49.496,24.748,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,66.756,33.378,0,0
0,0.03,0,0.3,1,0.3,0,0,0,0,19.78,9.89,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,5.536,2.768,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,3.832,1.916,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,13.968,6.984,1,0.2
0,0.03,1,26,0,0.03,0,0,1,50,23.336,11.668,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,10.84,5.42,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,12.924,6.462,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,14.868,7.434,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,134.992,67.496,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,11.72,5.86,0,0
0,0.03,1,26,0,0.03,0,0,0,0,32.056,16.028,0,0
0,0.03,1,26,35,,0,0,0,0,17.848,8.924,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,107.108,53.554,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,69.168,34.584,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,40.016,20.008,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,406.908,203.454,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,19.292,9.646,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,12.84,6.42,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,13.336,6.668,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,6.004,3.002,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,41.464,20.732,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,56.884,28.442,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,19.168,9.584,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,196.168,98.084,1,0.2
0,0.03,0,0.3,0,0.03,1,50,1,50,31.896,15.948,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,30.936,15.468,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,53.936,26.968,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,11.524,5.762,0,0
0,0.03,1,26,0,0.03,0,0,0,0,15.772,7.886,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,89.376,44.688,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.664,17.332,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,20.264,10.132,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,17.66,8.83,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,8.696,4.348,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,1.472,0.736,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,6.268,3.134,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,4.64,2.32,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,13.084,6.542,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,41.464,20.732,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,1.764,0.882,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,0.488,0.244,0,0
0,0.03,1,26,0,0.03,0,0,0,0,39.844,19.922,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,15.488,7.744,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,12.972,6.486,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,134.52,67.26,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,35.052,17.526,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.14,17.07,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,40.068,20.034,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,8.352,4.176,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,68.68,34.34,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,44.2,22.1,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,18.428,9.214,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,26.896,13.448,1,0.2
0,0.03,1,26,0,0.03,1,50,1,50,29.34,14.67,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,38.54,19.27,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,64.172,32.086,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,30.06,15.03,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,64.088,32.044,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,4.912,2.456,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,27.328,13.664,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,3.156,1.578,0,0
0,0.03,1,26,0,0.03,0,0,0,0,21.356,10.678,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.772,17.386,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,27.384,13.692,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,63.636,31.818,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.016,17.008,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,27.416,13.708,1,0.2
0,0.03,1,26,35,,0,0,0,0,20.892,10.446,0,0
0,0.03,1,26,0,0.03,0,0,0,0,6.732,3.366,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.212,17.106,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,13.552,6.776,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,32.008,16.004,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,11.748,5.874,0,0
0,0.03,0,0.3,1,0.3,0,0,0,0,24.808,12.404,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,64.816,32.408,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,29.56,14.78,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,17.86,8.93,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,29.644,14.822,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,53.352,26.676,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,105.616,52.808,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,27.216,13.608,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,27.32,13.66,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,21.016,10.508,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,66.636,33.318,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,34.108,17.054,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,52.464,26.232,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,15.24,7.62,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,30.448,15.224,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,37.08,18.54,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,21.064,10.532,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,53.616,26.808,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,5.56,2.78,0,0
0,0.03,0,0.3,2,0.6,0,0,0,0,3.512,1.756,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,27.508,13.754,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,15.712,7.856,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,31.22,15.61,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,10.82,5.41,0,0
0,0.03,1,26,0,0.03,0,0,0,0,20.604,10.302,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,18.24,9.12,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,23.548,11.774,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,21.02,10.51,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,22.728,11.364,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,11.2,5.6,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,1.624,0.812,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,22.4,11.2,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,15.964,7.982,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,94.988,47.494,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,108.868,54.434,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,41.64,20.82,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,28.06,14.03,0,0
0,0.03,1,26,1,0.3,0,0,0,0,92.948,46.474,1,0.2
0,0.03,0,0.3,2,0.6,0,0,0,0,9.868,4.934,1,0.2
0,0.03,1,26,0,0.03,0,0,5,250,17.26,8.63,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,49.764,24.882,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,28.468,14.234,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,40.932,20.466,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,27.364,13.682,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,64.412,32.206,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,33.924,16.962,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,31.068,15.534,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,115.108,57.554,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,10.58,5.29,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,63.468,31.734,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,15.932,7.966,0,0
0,0.03,1,26,3,,1,50,1,50,27.64,13.82,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,1.8,0.9,0,0
0,0.03,1,26,0,0.03,0,0,0,0,1.812,0.906,0,0
0,0.03,1,26,0,0.03,0,0,0,0,41.504,20.752,1,0.2
0,0.03,1,26,0,0.03,0,0,1,50,34.384,17.192,1,0.2
0,0.03,1,26,0,0.03,0,0,1,50,40.864,20.432,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,10.448,5.224,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,11.108,5.554,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,63.672,31.836,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.2,17.1,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,0.772,0.386,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,1.72,0.86,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,27.42,13.71,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,0.804,0.402,0,0
0,0.03,0,0.3,1,0.3,0,0,1,50,7.06,3.53,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,0.86,0.43,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,0.272,0.136,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,15.724,7.862,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,19.02,9.51,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,4.044,2.022,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,10.42,5.21,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,46.56,23.28,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,37.108,18.554,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,4.264,2.132,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,3.94,1.97,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,3.988,1.994,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,43.372,21.686,1,0.2
0,0.03,0,0.3,1,0.3,0,0,1,50,0.736,0.368,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,26.58,13.29,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,52.032,26.016,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,39.096,19.548,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,161.316,80.658,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,17.848,8.924,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,64.18,32.09,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,42.036,21.018,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,191.868,95.934,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,2.744,1.372,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,114.092,57.046,0,0
0,0.03,1,26,35,,0,0,0,0,25.16,12.58,0,0
0,0.03,1,26,0,0.03,0,0,0,0,2.652,1.326,0,0
0,0.03,1,26,0,0.03,0,0,0,0,31.98,15.99,0,0
0,0.03,1,26,0,0.03,0,0,0,0,29.964,14.982,0,0
0,0.03,1,26,0,0.03,0,0,0,0,373.6,186.8,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,41.872,20.936,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,2.168,1.084,0,0
0,0.03,1,26,0,0.03,0,0,0,0,63.948,31.974,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,39.688,19.844,0,0
0,0.03,1,26,0,0.03,0,0,0,0,3.336,1.668,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,61.124,30.562,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,37.216,18.608,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,4.812,2.406,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,18.968,9.484,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,19.696,9.848,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,93.368,46.684,1,0.2
0,0.03,1,26,15,,0,0,1,50,15.556,7.778,0,0
0,0.03,0,0.3,2,0.6,0,0,0,0,23.488,11.744,0,0
0,0.03,0,0.3,0,0.03,1,50,2,100,30.148,15.074,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,47.844,23.922,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,8.244,4.122,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,8.396,4.198,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,9.716,4.858,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,16.88,8.44,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,31.248,15.624,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,30.76,15.38,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,19.464,9.732,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,136.468,68.234,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,36.092,18.046,0,0
0,0.03,1,26,0,0.03,1,50,1,50,91.524,45.762,0,0
0,0.03,1,26,0,0.03,0,0,0,0,35.396,17.698,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,6.528,3.264,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,49.892,24.946,0,0
